date,day,off,id,item_id,name,price,high,low,open,time,updated_at
1400-02-11,Sat,0,60528811,137203,price_dollar_rl,229100,232420,229020,232340,2021-05-01 00:00:00,2021-05-02 00:04:10
1400-02-12,Sun,0,60532161,137203,price_dollar_rl,218380,229130,218380,229110,2021-05-02 00:00:00,2021-05-03 00:02:23
1400-02-13,Mon,0,60541203,137203,price_dollar_rl,217310,218490,217260,218430,2021-05-03 00:00:00,2021-05-04 00:03:39
1400-02-14,Tue,0,60541203,137203,price_dollar_rl,217310,218490,217260,218430,2021-05-03 00:00:00,2021-05-04 00:03:39
1400-02-15,Wed,0,60694254,137203,price_dollar_rl,209450,214080,206210,214080,2021-05-05 00:00:00,2021-05-06 00:11:29
1400-02-16,Thu,0,60758662,137203,price_dollar_rl,206480,206480,206370,206440,2021-05-06 00:00:00,2021-05-07 00:07:54
1400-02-17,Fri,0,60909915,137203,price_dollar_rl,206370,206480,206370,206390,2021-05-08 00:00:00,2021-05-09 00:06:31
1400-02-18,Sat,0,60909915,137203,price_dollar_rl,206370,206480,206370,206390,2021-05-08 00:00:00,2021-05-09 00:06:31
1400-02-19,Sun,0,60922483,137203,price_dollar_rl,207260,207300,206370,206450,2021-05-09 00:00:00,2021-05-10 00:06:10
1400-02-20,Mon,0,60940510,137203,price_dollar_rl,216130,217040,207190,207240,2021-05-10 00:00:00,2021-05-11 00:08:26
1400-02-21,Tue,0,61033774,137203,price_dollar_rl,221850,223410,216080,216080,2021-05-11 19:59:01,2021-05-16 10:47:27
1400-02-22,Wed,0,61111668,137203,price_dollar_rl,219750,221950,219750,221860,2021-05-12 19:59:27,2021-05-16 10:50:41
1400-02-23,Thu,0,61185578,137203,price_dollar_rl,216130,219860,216130,219790,2021-05-13 11:28:48,2021-05-16 10:54:29
1400-02-24,Fri,0,61302287,137203,price_dollar_rl,220500,221880,220410,220760,2021-05-15 19:57:21,2021-05-16 10:59:44
1400-02-25,Sat,0,61302287,137203,price_dollar_rl,220500,221880,220410,220760,2021-05-15 19:57:21,2021-05-16 10:59:44
1400-02-26,Sun,0,61321268,137203,price_dollar_rl,224140,224160,220410,220520,2021-05-16 00:00:00,2021-05-17 00:05:54
1400-02-27,Mon,0,61337466,137203,price_dollar_rl,222190,225270,222140,224160,2021-05-17 00:00:00,2021-05-18 00:08:47
1400-02-28,Tue,0,61426371,137203,price_dollar_rl,225340,225380,222140,222240,2021-05-18 00:00:00,2021-05-19 00:09:47
1400-02-29,Wed,0,61501344,137203,price_dollar_rl,221790,225380,221720,225270,2021-05-19 00:00:00,2021-05-20 00:09:17
1400-02-30,Thu,0,61574412,137203,price_dollar_rl,223000,224020,222930,223990,2021-05-20 00:00:00,2021-05-21 00:10:59
1400-02-31,Fri,0,61574412,137203,price_dollar_rl,223000,224020,222930,223990,2021-05-20 00:00:00,2021-05-21 00:10:59
1400-03-01,Sat,0,61722809,137203,price_dollar_rl,223490,223550,222930,222980,2021-05-22 00:00:00,2021-05-23 00:08:38
1400-03-02,Sun,0,61734177,137203,price_dollar_rl,223510,223990,223390,223440,2021-05-23 00:00:00,2021-05-24 00:06:39
1400-03-03,Mon,0,61752572,137203,price_dollar_rl,224110,225110,223490,223590,2021-05-24 00:00:00,2021-05-25 00:08:57
1400-03-04,Tue,0,61825238,137203,price_dollar_rl,224100,224430,223150,224120,2021-05-25 00:00:00,2021-05-26 00:25:39
1400-03-05,Wed,0,61911206,137203,price_dollar_rl,225160,225270,224100,224190,2021-05-26 00:00:00,2021-05-27 00:33:48
1400-03-06,Thu,0,61985648,137203,price_dollar_rl,231470,231470,225170,225260,2021-05-27 00:00:00,2021-06-02 12:06:27
1400-03-07,Fri,0,62540058,137203,price_dollar_rl,234660,234660,226460,226560,2021-05-29 19:56:02,2021-06-02 00:29:59
1400-03-08,Sat,0,62540058,137203,price_dollar_rl,234660,234660,226460,226560,2021-05-29 19:56:02,2021-06-02 00:29:59
1400-03-09,Sun,0,62553400,137203,price_dollar_rl,238570,238660,234550,234640,2021-05-30 19:58:58,2021-06-02 03:13:16
1400-03-10,Mon,0,62573428,137203,price_dollar_rl,234060,238660,232950,238590,2021-05-31 19:58:23,2021-06-02 03:14:52
1400-03-11,Tue,0,62640245,137203,price_dollar_rl,234160,238660,233970,234000,2021-06-01 19:57:53,2021-06-02 03:19:58
1400-03-12,Wed,0,62736960,137203,price_dollar_rl,234240,234360,228150,234060,2021-06-02 00:00:00,2021-06-03 00:20:39
1400-03-13,Thu,0,62815795,137203,price_dollar_rl,234330,234350,233900,234330,2021-06-03 00:00:00,2021-06-04 00:23:01
1400-03-14,Fri,0,62815795,137203,price_dollar_rl,234330,234350,233900,234330,2021-06-03 00:00:00,2021-06-04 00:23:01
1400-03-15,Sat,0,62815795,137203,price_dollar_rl,234330,234350,233900,234330,2021-06-03 00:00:00,2021-06-04 00:23:01
1400-03-16,Sun,0,62993352,137203,price_dollar_rl,235950,235960,234240,234340,2021-06-07 00:00:00,2021-06-08 00:13:47
1400-03-17,Mon,0,62993352,137203,price_dollar_rl,235950,235960,234240,234340,2021-06-07 00:00:00,2021-06-08 00:13:47
1400-03-18,Tue,0,63085990,137203,price_dollar_rl,235490,235960,234820,235890,2021-06-08 00:00:00,2021-06-09 00:32:57
1400-03-19,Wed,0,63164857,137203,price_dollar_rl,241440,241550,235440,235480,2021-06-09 00:00:00,2021-06-10 00:24:11
1400-03-20,Thu,0,63241094,137203,price_dollar_rl,239230,240450,239140,240010,2021-06-10 00:00:00,2021-06-11 00:28:00
1400-03-21,Fri,0,63241094,137203,price_dollar_rl,239230,240450,239140,240010,2021-06-10 00:00:00,2021-06-11 00:28:00
1400-03-22,Sat,0,63387553,137203,price_dollar_rl,237750,238350,236140,236830,2021-06-12 00:00:00,2021-06-13 00:23:16
